"","China","Cruise Ship","Iran","Italy","Korea, South","Spain","France","Germany","Netherlands","United Kingdom","Switzerland","Belgium"
"(Intercept)",5.60526059124069,3.85426276231067,2.32260803656047,5.97058682230178,5.80581047599426,3.82840209858925,3.40503743581337,3.26796476820522,4.78281853257088,2.65289700304924,5.03978023915049,4.56402347274281
"GrowthDate",0.417099664316024,0.201158742666755,0.453376683378707,0.201068672171778,0.279114934297639,0.352472853239493,0.265373038147439,0.270635014515777,0.231057996625841,0.252662896103713,0.238147378137645,0.210715216447515
"DoublingTime",1.66182627285638,3.44577208711347,1.52885493668177,3.44731565128044,2.4833754679024,1.96652642661526,2.61197288691716,2.56118810716393,2.99988397147915,2.74336751160892,2.91058077557048,3.28949751349635
